anio,nombre,url
2026,Mundial 2026,https://www.losmundialesdefutbol.com/mundiales/2026_mundial.php
2022,Mundial 2022,https://www.losmundialesdefutbol.com/mundiales/2022_mundial.php
2018,Mundial 2018,https://www.losmundialesdefutbol.com/mundiales/2018_mundial.php
2014,Mundial 2014,https://www.losmundialesdefutbol.com/mundiales/2014_mundial.php
2010,Mundial 2010,https://www.losmundialesdefutbol.com/mundiales/2010_mundial.php
2006,Mundial 2006,https://www.losmundialesdefutbol.com/mundiales/2006_mundial.php
2002,Mundial 2002,https://www.losmundialesdefutbol.com/mundiales/2002_mundial.php
1998,Mundial 1998,https://www.losmundialesdefutbol.com/mundiales/1998_mundial.php
1994,Mundial 1994,https://www.losmundialesdefutbol.com/mundiales/1994_mundial.php
1990,Mundial 1990,https://www.losmundialesdefutbol.com/mundiales/1990_mundial.php
1986,Mundial 1986,https://www.losmundialesdefutbol.com/mundiales/1986_mundial.php
1982,Mundial 1982,https://www.losmundialesdefutbol.com/mundiales/1982_mundial.php
1978,Mundial 1978,https://www.losmundialesdefutbol.com/mundiales/1978_mundial.php
1974,Mundial 1974,https://www.losmundialesdefutbol.com/mundiales/1974_mundial.php
1970,Mundial 1970,https://www.losmundialesdefutbol.com/mundiales/1970_mundial.php
1966,Mundial 1966,https://www.losmundialesdefutbol.com/mundiales/1966_mundial.php
1962,Mundial 1962,https://www.losmundialesdefutbol.com/mundiales/1962_mundial.php
1958,Mundial 1958,https://www.losmundialesdefutbol.com/mundiales/1958_mundial.php
1954,Mundial 1954,https://www.losmundialesdefutbol.com/mundiales/1954_mundial.php
1950,Mundial 1950,https://www.losmundialesdefutbol.com/mundiales/1950_mundial.php
1938,Mundial 1938,https://www.losmundialesdefutbol.com/mundiales/1938_mundial.php
1934,Mundial 1934,https://www.losmundialesdefutbol.com/mundiales/1934_mundial.php
1930,Mundial 1930,https://www.losmundialesdefutbol.com/mundiales/1930_mundial.php
