anio,posicion,seleccion,etapa,pts,pj,pg,pe,pp,gf,gc,dif
1962,1,Brasil,Final,11,6,5,1,0,14,5,9
1962,2,Checoslovaquia,Final,7,6,3,1,2,7,7,0
1962,3,Chile,Partido 3er Puesto,8,6,4,0,2,10,8,2
1962,4,Yugoslavia,Partido 3er Puesto,6,6,3,0,3,10,7,3
1962,5,Hungria,Cuartos de Final,5,4,2,1,1,8,3,5
1962,6,URSS,Cuartos de Final,5,4,2,1,1,9,7,2
1962,7,Alemania Occidental,Cuartos de Final,5,4,2,1,1,4,2,2
1962,8,Inglaterra,Cuartos de Final,3,4,1,1,2,5,6,-1
1962,9,Italia,Grupos 1ra Ronda,3,3,1,1,1,3,2,1
1962,10,Argentina,Grupos 1ra Ronda,3,3,1,1,1,2,3,-1
1962,11,Mexico,Grupos 1ra Ronda,2,3,1,0,2,3,4,-1
1962,12,Espana,Grupos 1ra Ronda,2,3,1,0,2,2,3,-1
1962,13,Uruguay,Grupos 1ra Ronda,2,3,1,0,2,4,6,-2
1962,14,Colombia,Grupos 1ra Ronda,1,3,0,1,2,5,11,-6
1962,15,Bulgaria,Grupos 1ra Ronda,1,3,0,1,2,1,7,-6
1962,16,Suiza,Grupos 1ra Ronda,0,3,0,0,3,2,8,-6
