anio,fase,grupo,seleccion
1998,1ra Ronda,A,Brasil
1998,1ra Ronda,A,Escocia
1998,1ra Ronda,A,Marruecos
1998,1ra Ronda,A,Noruega
1998,1ra Ronda,B,Austria
1998,1ra Ronda,B,Camerun
1998,1ra Ronda,B,Chile
1998,1ra Ronda,B,Italia
1998,1ra Ronda,C,Arabia Saudita
1998,1ra Ronda,C,Dinamarca
1998,1ra Ronda,C,Francia
1998,1ra Ronda,C,Sudafrica
1998,1ra Ronda,D,Bulgaria
1998,1ra Ronda,D,Espana
1998,1ra Ronda,D,Nigeria
1998,1ra Ronda,D,Paraguay
1998,1ra Ronda,E,Belgica
1998,1ra Ronda,E,Corea del Sur
1998,1ra Ronda,E,Mexico
1998,1ra Ronda,E,Paises Bajos
1998,1ra Ronda,F,Alemania
1998,1ra Ronda,F,Estados Unidos
1998,1ra Ronda,F,Iran
1998,1ra Ronda,F,RF de Yugoslavia
1998,1ra Ronda,G,Colombia
1998,1ra Ronda,G,Inglaterra
1998,1ra Ronda,G,Rumania
1998,1ra Ronda,G,Tunez
1998,1ra Ronda,H,Argentina
1998,1ra Ronda,H,Croacia
1998,1ra Ronda,H,Jamaica
1998,1ra Ronda,H,Japon
