anio,numero_partido,fecha,fase,grupo,seleccion_local,goles_local,goles_visita,seleccion_visita
2006,1,09-Jun-2006,1ra Ronda,A,Alemania,4,2,Costa Rica
2006,2,09-Jun-2006,1ra Ronda,A,Polonia,0,2,Ecuador
2006,3,10-Jun-2006,1ra Ronda,B,Inglaterra,1,0,Paraguay
2006,4,10-Jun-2006,1ra Ronda,B,Trinidad y Tobago,0,0,Suecia
2006,5,10-Jun-2006,1ra Ronda,C,Argentina,2,1,Costa de Marfil
2006,6,11-Jun-2006,1ra Ronda,C,Serbia y Montenegro,0,1,Paises Bajos
2006,7,11-Jun-2006,1ra Ronda,D,Mexico,3,1,Iran
2006,8,11-Jun-2006,1ra Ronda,D,Angola,0,1,Portugal
2006,9,12-Jun-2006,1ra Ronda,E,Italia,2,0,Ghana
2006,10,12-Jun-2006,1ra Ronda,E,Estados Unidos,0,3,Republica Checa
2006,11,12-Jun-2006,1ra Ronda,F,Australia,3,1,Japon
2006,12,13-Jun-2006,1ra Ronda,F,Brasil,1,0,Croacia
2006,13,13-Jun-2006,1ra Ronda,G,Francia,0,0,Suiza
2006,14,13-Jun-2006,1ra Ronda,G,Corea del Sur,2,1,Togo
2006,15,14-Jun-2006,1ra Ronda,H,Espana,4,0,Ucrania
2006,16,14-Jun-2006,1ra Ronda,H,Tunez,2,2,Arabia Saudita
2006,17,14-Jun-2006,1ra Ronda,A,Alemania,1,0,Polonia
2006,18,15-Jun-2006,1ra Ronda,A,Ecuador,3,0,Costa Rica
2006,19,15-Jun-2006,1ra Ronda,B,Inglaterra,2,0,Trinidad y Tobago
2006,20,15-Jun-2006,1ra Ronda,B,Suecia,1,0,Paraguay
2006,21,16-Jun-2006,1ra Ronda,C,Argentina,6,0,Serbia y Montenegro
2006,22,16-Jun-2006,1ra Ronda,C,Paises Bajos,2,1,Costa de Marfil
2006,23,16-Jun-2006,1ra Ronda,D,Mexico,0,0,Angola
2006,24,17-Jun-2006,1ra Ronda,D,Portugal,2,0,Iran
2006,25,17-Jun-2006,1ra Ronda,E,Italia,1,1,Estados Unidos
2006,26,17-Jun-2006,1ra Ronda,E,Republica Checa,0,2,Ghana
2006,27,18-Jun-2006,1ra Ronda,F,Brasil,2,0,Australia
2006,28,18-Jun-2006,1ra Ronda,F,Japon,0,0,Croacia
2006,29,18-Jun-2006,1ra Ronda,G,Francia,1,1,Corea del Sur
2006,30,19-Jun-2006,1ra Ronda,G,Togo,0,2,Suiza
2006,31,19-Jun-2006,1ra Ronda,H,Espana,3,1,Tunez
2006,32,19-Jun-2006,1ra Ronda,H,Arabia Saudita,0,4,Ucrania
2006,33,20-Jun-2006,1ra Ronda,A,Ecuador,0,3,Alemania
2006,34,20-Jun-2006,1ra Ronda,A,Costa Rica,1,2,Polonia
2006,35,20-Jun-2006,1ra Ronda,B,Suecia,2,2,Inglaterra
2006,36,20-Jun-2006,1ra Ronda,B,Paraguay,2,0,Trinidad y Tobago
2006,37,21-Jun-2006,1ra Ronda,C,Paises Bajos,0,0,Argentina
2006,38,21-Jun-2006,1ra Ronda,C,Costa de Marfil,3,2,Serbia y Montenegro
2006,39,21-Jun-2006,1ra Ronda,D,Portugal,2,1,Mexico
2006,40,21-Jun-2006,1ra Ronda,D,Iran,1,1,Angola
2006,41,22-Jun-2006,1ra Ronda,E,Republica Checa,0,2,Italia
2006,42,22-Jun-2006,1ra Ronda,E,Ghana,2,1,Estados Unidos
2006,43,22-Jun-2006,1ra Ronda,F,Japon,1,4,Brasil
2006,44,22-Jun-2006,1ra Ronda,F,Croacia,2,2,Australia
2006,45,23-Jun-2006,1ra Ronda,G,Togo,0,2,Francia
2006,46,23-Jun-2006,1ra Ronda,G,Suiza,2,0,Corea del Sur
2006,47,23-Jun-2006,1ra Ronda,H,Arabia Saudita,0,1,Espana
2006,48,23-Jun-2006,1ra Ronda,H,Ucrania,1,0,Tunez
2006,49,24-Jun-2006,Octavos,,Alemania,2,0,Suecia
2006,50,24-Jun-2006,Octavos,,Argentina,2,1,Mexico
2006,51,25-Jun-2006,Octavos,,Inglaterra,1,0,Ecuador
2006,52,25-Jun-2006,Octavos,,Portugal,1,0,Paises Bajos
2006,53,26-Jun-2006,Octavos,,Italia,1,0,Australia
2006,54,26-Jun-2006,Octavos,,Suiza,0,0,Ucrania
2006,55,27-Jun-2006,Octavos,,Brasil,3,0,Ghana
2006,56,27-Jun-2006,Octavos,,Espana,1,3,Francia
2006,57,30-Jun-2006,Cuartos,,Alemania,1,1,Argentina
2006,58,30-Jun-2006,Cuartos,,Italia,3,0,Ucrania
2006,59,01-Jul-2006,Cuartos,,Inglaterra,0,0,Portugal
2006,60,01-Jul-2006,Cuartos,,Brasil,0,1,Francia
2006,61,04-Jul-2006,Semis,,Alemania,0,2,Italia
2006,62,05-Jul-2006,Semis,,Portugal,0,1,Francia
2006,63,08-Jul-2006,3er Puesto,,Alemania,3,1,Portugal
2006,64,09-Jul-2006,Final,,Italia,1,1,Francia
